Date,AAPL,MSFT,NVDA,AMZN,GOOGL,META,TSLA,JPM,XOM,JNJ,VFIAX,VTSAX,VBTLX,VIMAX,VSMAX,VGSLX,VTIAX,GLD,SLV,USO,TLT,BND,BTC-USD,ETH-USD
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,7200.17431640625,130.802001953125
2020-01-02,72.40052795410156,152.1584014892578,5.9707536697387695,94.90049743652344,67.87303161621094,208.14657592773438,28.68400001525879,118.43034362792969,53.30641174316406,122.63822937011719,274.31719970703125,73.3395004272461,9.186951637268066,201.2875518798828,72.65579986572266,102.3915786743164,25.101041793823242,143.9499969482422,16.809999465942383,102.4800033569336,113.74646759033203,69.48673248291016,6985.47021484375,127.4101791381836
2020-01-03,71.69664764404297,150.2637481689453,5.875187397003174,93.74849700927734,67.5179672241211,207.04522705078125,29.534000396728516,116.86748504638672,52.87785339355469,121.21835327148438,272.41046142578125,72.89190673828125,9.22011661529541,200.4603729248047,72.45468139648438,103.27581787109375,24.90129280090332,145.86000061035156,16.84000015258789,105.44000244140625,115.4982681274414,69.7349853515625,7344.88427734375,134.1717071533203
2020-01-04,,,,,,,,,,,,,,,,,,,,,,,7410.65673828125,135.06936645507812
2020-01-05,,,,,,,,,,,,,,,,,,,,,,,7411.3173828125,136.2767791748047
2020-01-06,72.26793670654297,150.65216064453125,5.899824619293213,95.14399719238281,69.31758880615234,210.9446258544922,30.1026668548584,116.7745590209961,53.283851623535156,121.067138671875,273.368408203125,73.12940979003906,9.211828231811523,200.69674682617188,72.55525207519531,103.34687042236328,24.892974853515625,147.38999938964844,16.940000534057617,105.27999877929688,114.84239196777344,69.65223693847656,7769.21923828125,144.3041534423828
2020-01-07,71.9280776977539,149.27854919433594,5.971251487731934,95.34300231933594,69.1837158203125,211.40103149414062,31.270666122436523,114.789306640625,52.84778594970703,121.80644226074219,272.6294250488281,72.95584869384766,9.195246696472168,200.65130615234375,72.39067077636719,102.13894653320312,24.868005752563477,147.97000122070312,17.170000076293945,105.04000091552734,114.27788543701172,69.59432220458984,8163.6923828125,143.5439910888672
2020-01-08,73.08509063720703,151.6563262939453,5.982451438903809,94.59850311279297,69.6761245727539,213.5442352294922,32.80933380126953,115.6847915649414,52.05082321166992,121.78966522216797,273.979736328125,73.30296325683594,9.17866039276123,201.16029357910156,72.57351684570312,102.51790618896484,24.868005752563477,146.86000061035156,16.93000030517578,101.27999877929688,113.52233123779297,69.48673248291016,8079.86279296875,141.2581329345703
2020-01-09,74.63748931884766,153.5509490966797,6.048154830932617,95.05249786376953,70.40758514404297,216.60025024414062,32.089332580566406,116.10717010498047,52.44929122924805,122.15090942382812,275.87738037109375,73.75967407226562,9.186951637268066,202.29661560058594,72.78382873535156,102.50212097167969,24.992843627929688,146.02999877929688,16.719999313354492,99.91999816894531,113.92081451416016,69.56950378417969,7879.0712890625,138.9792022705078
2020-01-10,74.80623626708984,152.84043884277344,6.080508232116699,94.15799713134766,70.86233520507812,216.3621063232422,31.876667022705078,114.94979858398438,51.983154296875,121.87368774414062,275.0836486816406,73.55873107910156,9.20353889465332,201.96932983398438,72.54608154296875,103.30744171142578,24.959552764892578,146.91000366210938,16.889999389648438,99.27999877929688,114.93370056152344,69.68531799316406,8166.55419921875,143.96377563476562
2020-01-11,,,,,,,,,,,,,,,,,,,,,,,8037.53759765625,142.92710876464844
2020-01-12,,,,,,,,,,,,,,,,,,,,,,,8192.494140625,145.87393188476562
2020-01-13,76.4044189453125,154.67825317382812,6.271146297454834,94.56500244140625,71.41129302978516,220.18212890625,34.990665435791016,115.90442657470703,52.479366302490234,122.4113998413086,277.0085144042969,74.08853149414062,9.195246696472168,203.4329071044922,73.1495132446289,104.49958038330078,25.14265251159668,145.82000732421875,16.780000686645508,97.5999984741211,114.58505249023438,69.64398193359375,8144.1943359375,144.22659301757812
2020-01-14,75.37271118164062,153.58883666992188,6.1541748046875,93.47200012207031,70.94315338134766,217.3542938232422,35.861331939697266,117.25608825683594,52.02825164794922,123.1003189086914,276.6163330078125,74.0428466796875,9.211828231811523,203.7692413330078,73.36894226074219,104.10481262207031,25.134326934814453,145.69000244140625,16.6200008392334,98.23999786376953,115.17444610595703,69.74323272705078,8827.7646484375,165.95535278320312
2020-01-15,75.0497055053711,154.58355712890625,6.111616611480713,93.10099792480469,71.37012481689453,219.42803955078125,34.56666564941406,115.49893951416016,51.94554138183594,123.51199340820312,277.1363525390625,74.19811248779297,9.22011661529541,204.25106811523438,73.5517578125,105.01272583007812,25.109363555908203,146.5399932861328,16.809999465942383,97.44000244140625,115.9382095336914,69.85083770751953,8807.0107421875,166.23068237304688
2020-01-16,75.98979187011719,157.41604614257812,6.195239067077637,93.89700317382812,71.91364288330078,220.043212890625,34.232666015625,115.94664764404297,51.7425537109375,124.51177215576172,279.46282958984375,74.85578918457031,9.211828231811523,206.41452026367188,74.40203857421875,105.85750579833984,25.209230422973633,146.30999755859375,16.770000457763672,98.31999969482422,115.57294464111328,69.80943298339844,8723.7861328125,164.39100646972656
2020-01-17,76.83108520507812,158.2970428466797,6.203949928283691,93.23600006103516,73.36959838867188,220.4103240966797,34.03333282470703,116.74921417236328,51.54707717895508,125.32672119140625,280.5483703613281,75.06587219238281,9.20353889465332,206.7508544921875,74.23747253417969,105.96015167236328,25.292461395263672,146.5800018310547,16.81999969482422,98.63999938964844,114.58505249023438,69.80119323730469,8929.0380859375,170.7799530029297
2020-01-18,,,,,,,,,,,,,,,,,,,,,,,8942.80859375,175.3656768798828
2020-01-19,,,,,,,,,,,,,,,,,,,,,,,8706.2451171875,166.9698486328125
2020-01-20,,,,,,,,,,,,,,,,,,,,,,,8657.642578125,167.12051391601562
2020-01-21,76.31040954589844,157.72860717773438,6.1706013679504395,94.5999984741211,73.50499725341797,219.71578979492188,36.47999954223633,115.60028839111328,50.81026077270508,125.41075134277344,279.8094482421875,74.86494445800781,9.228407859802246,206.1509246826172,73.80779266357422,106.99443817138672,25.05942726135254,146.74000549316406,16.639999389648438,97.91999816894531,115.78883361816406,69.9749755859375,8745.89453125,169.69715881347656
2020-01-22,76.58281707763672,156.97079467773438,6.224607467651367,94.37300109863281,73.58531951904297,219.59669494628906,37.97066879272461,115.46513366699219,50.51704406738281,124.55377197265625,279.9007263183594,74.90145874023438,9.236701011657715,206.305419921875,73.75292205810547,106.29963684082031,25.109363555908203,146.7899932861328,16.65999984741211,95.19999694824219,116.19558715820312,70.03288269042969,8680.8759765625,168.29415893554688
2020-01-23,76.95162200927734,157.9370574951172,6.29304838180542,94.22899627685547,73.62596893310547,218.04885864257812,38.14666748046875,115.34686279296875,50.20125198364258,124.78903198242188,280.2382507324219,74.98367309570312,9.253287315368652,207.0236053466797,73.81690216064453,107.14444732666016,25.01780891418457,147.1199951171875,16.610000610351562,93.27999877929688,117.00912475585938,70.1570053100586,8406.515625,162.92855834960938
2020-01-24,76.72984313964844,156.34556579589844,6.233814716339111,93.08200073242188,72.70758056640625,216.24302673339844,37.654666900634766,112.4830551147461,49.8629150390625,124.61260223388672,277.71112060546875,74.28947448730469,9.26986312866211,205.1237030029297,72.96664428710938,106.82073974609375,24.909618377685547,147.97999572753906,16.90999984741211,91.44000244140625,117.95559692382812,70.26457977294922,8445.4345703125,163.05117797851562
2020-01-25,,,,,,,,,,,,,,,,,,,,,,,8367.84765625,161.283935546875
2020-01-26,,,,,,,,,,,,,,,,,,,,,,,8596.830078125,168.0771026611328
2020-01-27,74.47357177734375,153.73095703125,5.977972984313965,91.41699981689453,70.99969482421875,213.19691467285156,37.201332092285156,111.53688049316406,48.674991607666016,124.9738998413086,273.3409729003906,73.16594696044922,9.303031921386719,202.01480102539062,72.04327392578125,106.31544494628906,24.401935577392578,148.99000549316406,16.889999389648438,88.80000305175781,119.79035949707031,70.49629974365234,8909.8193359375,170.93089294433594
2020-01-28,76.58039093017578,156.743408203125,6.1713480949401855,92.6624984741211,71.93049621582031,216.09417724609375,37.793331146240234,113.56434631347656,48.60733413696289,125.6040267944336,276.09625244140625,73.8875503540039,9.28645133972168,203.88743591308594,72.73808288574219,106.710205078125,24.57671356201172,147.66000366210938,16.31999969482422,90.0,118.85221862792969,70.37217712402344,9358.58984375,176.3703155517578
2020-01-29,78.18341827392578,159.1875457763672,6.110871315002441,92.9000015258789,72.23795318603516,221.49185180664062,38.732666015625,113.3954086303711,48.201324462890625,126.47774505615234,275.8591613769531,73.80535888671875,9.311325073242188,203.03292846679688,72.50953674316406,106.29174041748047,24.55174446105957,148.4600067138672,16.40999984741211,89.27999877929688,120.0145034790039,70.5707778930664,9316.6298828125,175.0503387451172
2020-01-30,78.07011413574219,163.6777801513672,6.11759090423584,93.53399658203125,72.11647033691406,207.8985137939453,42.72066879272461,114.7977523803711,48.71259307861328,126.32649230957031,276.7713928222656,74.03372955322266,9.311325073242188,203.54197692871094,72.5003890991211,106.43385314941406,24.43522834777832,148.47000122070312,16.68000030517578,88.63999938964844,120.03114318847656,70.58733367919922,9508.9931640625,184.6904754638672
2020-01-31,74.60856628417969,161.2621612548828,5.884145736694336,100.43599700927734,71.0517578125,200.33786010742188,43.371334075927734,111.81568908691406,46.70512771606445,125.07465362548828,271.89044189453125,72.73663330078125,9.357029914855957,200.0967559814453,71.09244537353516,105.09957122802734,24.035741806030273,149.3300018310547,16.81999969482422,86.72000122070312,121.12699890136719,70.76937103271484,9350.529296875,180.16017150878906
2020-02-01,,,,,,,,,,,,,,,,,,,,,,,9392.875,183.6739501953125
2020-02-02,,,,,,,,,,,,,,,,,,,,,,,9344.365234375,188.61753845214844
2020-02-03,74.40367126464844,165.19351196289062,5.981207370758057,100.20999908447266,73.52233123779297,202.60011291503906,52.0,112.66890716552734,45.660057067871094,126.16687774658203,273.861083984375,73.3395004272461,9.357029914855957,201.75120544433594,71.76898193359375,105.42327880859375,24.10232162475586,148.36000061035156,16.5,83.91999816894531,121.02889251708984,70.7055435180664,9293.521484375,189.8650665283203
2020-02-04,76.86000061035156,170.63111877441406,6.1504411697387695,102.4834976196289,71.6780776977539,208.19618225097656,59.137332916259766,114.2908706665039,45.088645935058594,127.3683090209961,277.966552734375,74.47216033935547,9.3237886428833,204.4873809814453,72.8478012084961,106.55231475830078,24.510135650634766,146.42999267578125,16.450000762939453,83.5199966430664,119.39901733398438,70.48992156982422,9180.962890625,189.25059509277344
2020-02-05,77.48676300048828,170.42269897460938,6.240784168243408,101.99349975585938,71.70982360839844,208.4739990234375,48.97999954223633,116.23387908935547,47.16375732421875,129.3762969970703,281.1049499511719,75.22115325927734,9.298856735229492,206.32363891601562,73.67977905273438,106.57599639892578,24.70155143737793,146.61000061035156,16.459999084472656,85.5999984741211,118.09342956542969,70.37379455566406,9613.423828125,204.23023986816406
2020-02-06,78.39311981201172,173.95623779296875,6.327640056610107,102.5114974975586,73.19354248046875,209.20823669433594,49.930667877197266,116.2507553100586,46.524696350097656,128.98985290527344,282.08111572265625,75.422119140625,9.307169914245605,206.34181213378906,73.4603500366211,106.97862243652344,24.80974769592285,147.39999389648438,16.6299991607666,85.91999816894531,118.62567901611328,70.44017791748047,9729.8017578125,212.33908081054688
2020-02-07,77.32755279541016,174.20249938964844,6.261439800262451,103.96399688720703,73.3492660522461,210.67674255371094,49.871334075927734,115.87905883789062,46.216426849365234,127.61196899414062,280.6122131347656,75.00192260742188,9.340410232543945,204.7692108154297,72.73808288574219,106.89965057373047,24.593355178833008,147.7899932861328,16.540000915527344,84.63999938964844,120.10578155517578,70.65576171875,9795.943359375,222.72605895996094
2020-02-08,,,,,,,,,,,,,,,,,,,,,,,9865.119140625,223.14651489257812
2020-02-09,,,,,,,,,,,,,,,,,,,,,,,10116.673828125,228.5785675048828
