Date,AAPL,MSFT,NVDA,AMZN,GOOGL,META,TSLA,JPM,XOM,JNJ,VFIAX,VTSAX,VBTLX,VIMAX,VSMAX,VGSLX,VTIAX,GLD,SLV,USO,TLT,BND,BTC-USD,ETH-USD
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,,,,,,,,,,,,,,,,,,,,,,,-0.029819292162590716,-0.025930970201487602
2020-01-03,-0.009722032835241423,-0.01245184821717693,-0.01600573026818186,-0.012139034655920922,-0.005231302973139007,-0.005291217845137641,0.02963325829792085,-0.013196437109504355,-0.008039527246257228,-0.011577760914565083,-0.006950852091252013,-0.006103037058574734,0.0036100089928421397,-0.004109439194589282,-0.0027680993067308313,0.008635858614797876,-0.007957796913794835,0.013268521727000326,0.0017846928970040032,0.028883674741530863,0.015400922544853257,0.0035726657418149177,0.05145166344511276,0.053068978168561154
2020-01-04,,,,,,,,,,,,,,,,,,,,,,,0.008954866877941559,0.0066903769863495555
2020-01-05,,,,,,,,,,,,,,,,,,,,,,,8.914790612779555e-05,0.008939204731726713
2020-01-06,,,,,,,,,,,,,,,,,,,,,,,0.04829126010697582,0.05890493095145177
2020-01-07,-0.0047027634145571096,-0.009117768004910265,0.012106608763444493,0.0020916204156393725,-0.0019312989407958003,0.00216362771888412,0.03880052465815398,-0.017000726845084024,-0.008183824189532118,0.006106558699391584,-0.002703250017638381,-0.002373341952160102,-0.0018000265443610663,-0.00022641460086780807,-0.002268358170095741,-0.011688054841172746,-0.0010030581358427826,0.003935150508558971,0.013577304308457272,-0.002279614993847545,-0.004915489142024554,-0.0008314841910659343,0.050773846435889336,-0.005267778753292318
2020-01-08,0.016085692492922687,0.015928457989726974,0.0018756455317425758,-0.007808640261289357,0.007117408288972449,0.01013809497618734,0.04920482578812169,0.007801117983227579,-0.015080342983441963,-0.00013773523192073256,0.004952918339812484,0.00475787163336161,-0.0018037910518813316,0.002536676369160329,0.0025258236644993826,0.003710236580896531,0.0,-0.007501524641443713,-0.013977854982628934,-0.03579590730634363,-0.006611552150527,-0.0015459554496902728,-0.010268587535248286,-0.015924443349786155
2020-01-09,0.021240976348332108,0.012492870221992192,0.01098268706395844,0.0047991747864684076,0.010498008834077588,0.014310922565360817,-0.021945011900097344,0.003651115538397809,0.007655364372580964,0.0029661318224429856,0.006926220414695594,0.006230455020344472,0.0009033174942800759,0.005648838551916002,0.002897915090646297,-0.00015397522122684304,0.005020019562820943,-0.005651653463197515,-0.012404074898751727,-0.013428126251415096,0.003510175240609703,0.0011911813710607788,-0.024850855645838776,-0.016133093484380745
2020-01-10,0.002260887253606736,-0.004627195455880195,0.005349301082474556,-0.009410596802031268,0.006458822016190524,-0.0010994628151630437,-0.006627297633174267,-0.009968131338914166,-0.008887382869210425,-0.0022695015615940006,-0.0028771176831730028,-0.0027242933986827422,0.0018055235338310105,-0.0016178509246430606,-0.0032664837301604743,0.007856625132357964,-0.0013320158175160746,0.006026192495848015,0.010167469095418102,-0.006405118108252172,0.008891141199112385,0.001664726678857198,0.03648690303834745,0.03586560638444225
2020-01-11,,,,,,,,,,,,,,,,,,,,,,,-0.015798168776598898,-0.007200886928300676
2020-01-12,,,,,,,,,,,,,,,,,,,,,,,0.019279106453440997,0.0206176641057616
2020-01-13,,,,,,,,,,,,,,,,,,,,,,,-0.005895616628883604,-0.01129289411687917
